package_name,class_name,method_name,type,Harmony API Package Name,Harmony API Class Name,Harmony API Methods,Harmony API Type
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getHighSpeedVideoFpsRanges,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getHighSpeedVideoFpsRangesFor,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getHighSpeedVideoSizes,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getHighSpeedVideoSizesFor,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getInputFormats,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getInputSizes,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getOutputFormats,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getOutputMinFrameDuration,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getOutputMinFrameDuration,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getOutputSizes,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getOutputSizes,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getOutputStallDuration,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getOutputStallDuration,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getRecommendedUseCase,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getValidOutputFormatsForInput,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,isOutputSupportedFor,class,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,isOutputSupportedFor,class,,,,
android.content.res,AssetManager,close,class,,,,
android.content.res,AssetManager,getLocales,class,,,,
android.content.res,AssetManager,list,class,,,,
android.content.res,AssetManager,open,class,,,,
android.content.res,AssetManager,open,class,,,,
android.content.res,AssetManager,openFd,class,,,,
android.content.res,AssetManager,openNonAssetFd,class,,,,
android.content.res,AssetManager,openNonAssetFd,class,,,,
android.content.res,AssetManager,openXmlResourceParser,class,,,,
android.content.res,AssetManager,openXmlResourceParser,class,,,,
android.icu.number,LocalizedNumberFormatter,format,class,,,,
android.icu.number,LocalizedNumberFormatter,format,class,,,,
android.icu.number,LocalizedNumberFormatter,format,class,,,,
android.icu.number,LocalizedNumberFormatter,format,class,,,,
android.icu.number,LocalizedNumberFormatter,toFormat,class,,,,
android.service.textservice,SpellCheckerService,createSession,class,,,,
android.service.textservice,SpellCheckerService,onBind,class,,,,
android.database.sqlite,SQLiteProgram,bindAllArgsAsStrings,class,,,,
android.database.sqlite,SQLiteProgram,bindBlob,class,,,,
android.database.sqlite,SQLiteProgram,bindDouble,class,,,,
android.database.sqlite,SQLiteProgram,bindLong,class,,,,
android.database.sqlite,SQLiteProgram,bindNull,class,,,,
android.database.sqlite,SQLiteProgram,bindString,class,,,,
android.database.sqlite,SQLiteProgram,clearBindings,class,,,,
android.database.sqlite,SQLiteProgram,getUniqueId,class,,,,
java.nio.channels,FileLockInterruptionException,,class,,,,
android.content.pm,PathPermission,getReadPermission,class,,,,
android.content.pm,PathPermission,getWritePermission,class,,,,
android.content.pm,PathPermission,writeToParcel,class,,,,
android.graphics,ColorMatrixColorFilter,getColorMatrix,class,,,,
org.w3c.dom.ls,LSParser,abort,interface,,,,
org.w3c.dom.ls,LSParser,getAsync,interface,,,,
org.w3c.dom.ls,LSParser,getBusy,interface,,,,
org.w3c.dom.ls,LSParser,getDomConfig,interface,,,,
org.w3c.dom.ls,LSParser,getFilter,interface,,,,
org.w3c.dom.ls,LSParser,parse,interface,,,,
org.w3c.dom.ls,LSParser,parseURI,interface,,,,
org.w3c.dom.ls,LSParser,parseWithContext,interface,,,,
org.w3c.dom.ls,LSParser,setFilter,interface,,,,
android.view,InputQueue,,class,,,,
android.opengl,EGLSurface,equals,class,,,,
android.bluetooth,BluetoothClass$Device,,class,,,,
android.icu.text,LocaleDisplayNames,getInstance,class,,,,
android.icu.text,LocaleDisplayNames,getInstance,class,,,,
android.icu.text,LocaleDisplayNames,getInstance,class,,,,
android.icu.text,LocaleDisplayNames,getInstance,class,,,,
android.icu.text,LocaleDisplayNames,getInstance,class,,,,
android.icu.text,LocaleDisplayNames,getContext,class,,,,
android.icu.text,LocaleDisplayNames,getDialectHandling,class,,,,
android.icu.text,LocaleDisplayNames,getLocale,class,,,,
android.icu.text,LocaleDisplayNames,getUiList,class,,,,
android.icu.text,LocaleDisplayNames,getUiListCompareWholeItems,class,,,,
android.icu.text,LocaleDisplayNames,keyDisplayName,class,,,,
android.icu.text,LocaleDisplayNames,keyValueDisplayName,class,,,,
android.icu.text,LocaleDisplayNames,languageDisplayName,class,,,,
android.icu.text,LocaleDisplayNames,localeDisplayName,class,,,,
android.icu.text,LocaleDisplayNames,localeDisplayName,class,,,,
android.icu.text,LocaleDisplayNames,localeDisplayName,class,,,,
android.icu.text,LocaleDisplayNames,regionDisplayName,class,,,,
android.icu.text,LocaleDisplayNames,scriptDisplayName,class,,,,
android.icu.text,LocaleDisplayNames,scriptDisplayName,class,,,,
android.icu.text,LocaleDisplayNames,variantDisplayName,class,,,,
android.provider,Telephony$Mms$Draft,,class,,,,
android.widget,ViewFlipper,getAccessibilityClassName,class,,,,
